title,Genre,Premiere,Runtime,IMDB Score,Language,id,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
El Camino Christmas,Dark comedy,"December 8, 2017",89,5.7,English,tm359713,MOVIE,"A young man seeking a father he has never met, through no fault of his own, ends up barricaded in a liquor store with five other people on Christmas Eve in the fictitious town of El Camino, NV.",2017.0,,89.0,"['comedy', 'drama', 'crime', 'western']",['US'],,tt3255590,5.7,8830.0,8.462,5.6
Eli,Horror,"October 18, 2019",98,5.7,English,tm355783,MOVIE,"A boy named Eli with a rare autoimmune disorder is confined to a special experimental clinic for his treatment. He soon begins experiencing supernatural forces, turning the supposedly safe facility into a haunted prison for him and his fellow patients.",2019.0,R,98.0,"['horror', 'thriller', 'drama']",['US'],,tt5294518,5.8,35214.0,31.78,6.0
Ginny Weds Sunny,Romantic comedy,"October 9, 2020",125,5.7,Hindi,tm935388,MOVIE,"Delhi girl Ginny lives with her matchmaker mother and is set up with Sunny, who has given up on the idea of love. He just wants to get married and settle down. But, the match is not that simple. As Ginny meets Sunny, there’s a lot more that comes to the fore than previously imagined in this tale of love, life, weddings and music.",2020.0,,125.0,"['comedy', 'drama', 'romance']",['IN'],,tt10543680,5.7,4776.0,3.782,6.3
Good Sam,Drama,"May 16, 2019",89,5.7,English,tm474548,MOVIE,A news reporter looks into who has been anonymously leaving large cash gifts on random doorsteps in New York.,2019.0,PG,90.0,"['romance', 'drama', 'comedy']",['US'],,tt9032888,5.7,2951.0,8.029,6.0
Lionheart,Comedy,"January 4, 2019",94,5.7,English,tm431081,MOVIE,"In order to save her father's ailing bus company, competent but perennially overlooked Adaeze must find a way to work alongside feckless uncle Godswill.",2018.0,,95.0,"['drama', 'comedy']",['NG'],,tt7707314,5.6,1458.0,2.971,6.0
Little Evil,Comedy horror,"September 1, 2017",94,5.7,English,tm260272,MOVIE,"Gary, who has just married Samantha, the woman of his dreams, discovers that her six-year-old son may be the Antichrist.",2017.0,,94.0,"['horror', 'comedy', 'fantasy']",['US'],,tt2937366,5.6,21421.0,8.528,5.6
One Take,Documentary,"June 18, 2020",85,5.7,Thai,tm901961,MOVIE,Members of Thai girl group BNK48 share the ups and downs of preparing for the 6th Single Senbatsu General Election.,2020.0,,85.0,"['documentation', 'music', 'drama']",['DE'],,tt12401232,5.9,52.0,0.6,
"Out of Many, One",Documentary,"December 12, 2018",34,5.7,English,tm443073,MOVIE,"The U.S. has long offered a promise of opportunity to immigrants, but currently immigration has become a divisive issue. This documentary illustrates how an understanding of our history and democracy is essential to constructive debate, informed civic participation and shaping a new class of citizens.",2018.0,,35.0,['documentation'],['US'],,,,,1.833,5.8
Point Blank,Action,"July 12, 2019",86,5.7,English,tm515157,MOVIE,A top spy must clear his name when he faces military sanctions.,2017.0,NC-17,86.0,"['action', 'thriller', 'crime', 'drama']",['US'],,tt2499472,5.7,14324.0,12.985,6.1
Prime Time,Thriller,"April 14, 2021",91,5.7,Polish,tm983722,MOVIE,"On the last day of 1999, 20-year-old Sebastian locks himself in a TV studio. He has two hostages, a gun, and an important message for the world. The story of the attack explores a rebel’s extreme measures and last resort.",2021.0,R,93.0,"['thriller', 'drama']",['PL'],,tt11460976,5.2,1796.0,19.187,5.1
The Do-Over,Action comedy,"May 27, 2016",108,5.7,English,tm239707,MOVIE,The life of a bank manager is turned upside down when a friend from his past manipulates him into faking his own death and taking off on an adventure.,2016.0,PG-13,108.0,"['action', 'comedy']",['US'],,tt4769836,5.7,46260.0,11.466,5.672
The Holiday Calendar,Romantic comedy,"November 2, 2018",95,5.7,English,tm438994,MOVIE,A talented photographer stuck in a dead-end job inherits an antique Advent calendar that may be predicting the future -- and pointing her toward love.,2018.0,,94.0,"['romance', 'comedy', 'family', 'drama', 'fantasy']",['US'],,tt8262802,5.7,10060.0,11.41,6.7
The Woman in the Window,Psychological thriller,"May 14, 2021",100,5.7,English,tm416779,MOVIE,An agoraphobic woman living alone in New York begins spying on her new neighbors only to witness a disturbing act of violence.,2021.0,R,100.0,"['drama', 'thriller', 'crime']",['US'],,tt6111574,5.7,72490.0,23.639,6.1
The Wrong Missy,Comedy,"May 13, 2020",90,5.7,English,tm886464,MOVIE,"A guy meets the woman of his dreams and invites her to his company's corporate retreat, but realizes he sent the invite to the wrong person.",2020.0,R,90.0,"['romance', 'comedy']",['US'],,tt9619798,5.7,39237.0,31.686,6.2
Velvet Buzzsaw,Thriller,"February 1, 2019",112,5.7,English,tm332071,MOVIE,"Big money artists and mega-collectors pay a high price when art collides with commerce. After a series of paintings by an unknown artist are discovered, a supernatural force enacts revenge on those who have allowed their greed to get in the way of art.",2019.0,R,113.0,"['thriller', 'horror', 'comedy']",['US'],,tt7043012,5.7,60629.0,16.079,5.3
Yes Day,Comedy,"March 12, 2021",86,5.7,English,tm992260,MOVIE,A mom and dad who usually say no decide to say yes to their kids' wildest requests — with a few ground rules — on a whirlwind day of fun and adventure.,2021.0,PG,86.0,"['comedy', 'family']",['US'],,tt8521876,5.7,23625.0,32.951,6.9
15 August,Comedy-drama,"March 29, 2019",124,5.8,Marathi,tm461427,MOVIE,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",2019.0,,124.0,"['romance', 'drama']",['IN'],,tt9817300,5.7,273.0,2.559,7.0
A California Christmas,Romantic comedy,"December 14, 2020",107,5.8,English,tm960414,MOVIE,"With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family's land before Christmas.",2020.0,PG-13,106.0,"['romance', 'comedy', 'drama']",['US'],,tt13055780,5.8,9831.0,11.246,6.4
A Christmas Prince,Romantic comedy,"November 17, 2017",92,5.8,English,tm355724,MOVIE,"When a reporter goes undercover as a nanny to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?",2017.0,PG,92.0,"['romance', 'comedy', 'family']",['US'],,tt7608418,5.7,19514.0,10.442,6.6
All Day and a Night,Drama,"May 1, 2020",121,5.8,English,tm880059,MOVIE,A young man who committed a homicide deals with the repercussions of his action.,2020.0,R,121.0,['drama'],['US'],,tt3993886,5.9,3752.0,7.586,6.2
American Son,Drama,"November 1, 2019",90,5.8,English,tm826368,MOVIE,Time passes and tension mounts in a Florida police station as an estranged interracial couple awaits news of their missing teenage son.,2019.0,,90.0,['drama'],['US'],,tt9664078,5.8,7004.0,7.334,6.1
Barry,Biopic,"December 16, 2016",104,5.8,English,tm245378,MOVIE,A biopic of Barack Obama set during his time as a college student in New York City.,2016.0,,104.0,['drama'],['US'],,tt5477566,5.9,7212.0,5.957,5.8
Candy Jar,Comedy,"April 27, 2018",92,5.8,English,tm411503,MOVIE,Dueling high school debate champs who are at odds on just about everything forge ahead with ambitious plans to get into the colleges of their dreams.,2018.0,PG-13,92.0,['comedy'],['US'],,tt6744044,5.8,5048.0,11.51,6.2
Choked: Paisa Bolta Hai,Drama,"June 5, 2020",114,5.8,Hindi,tm893874,MOVIE,A bank employee weighed down by her jobless husband's debts - and her own broken dreams - finds a secret source of seemingly unlimited cash in her home.,2020.0,,114.0,"['thriller', 'drama']",['IN'],,tt11651780,5.7,5380.0,3.885,6.7
Class of '83,Drama,"August 21, 2020",98,5.8,Hindi,tm921416,MOVIE,A hero policeman shunted to a punishment posting as the Dean of the police academy decides to punish the corrupt bureaucracy and its criminal allies in return by training five lethal assassin policemen.,2020.0,,98.0,"['drama', 'crime', 'thriller', 'action']",['IN'],,tt10230422,5.8,5628.0,3.481,5.8
Extinction,Science fiction/Thriller,"July 27, 2018",95,5.8,English,tm310706,MOVIE,"A chief mechanic at a factory, haunted by apocalyptic nightmares, becomes a hero when Earth is invaded by a mysterious army bent on destruction.",2018.0,R,96.0,"['scifi', 'thriller', 'action', 'drama']",['US'],,tt3201640,5.8,52635.0,28.029,6.009
Happy Anniversary,Romantic comedy,"March 30, 2018",78,5.8,English,tm404690,MOVIE,A quirky couple spends their three-year dating anniversary looking back at their relationship and contemplating whether they should break up.,2018.0,,78.0,"['romance', 'comedy']",['US'],,tt6423886,5.7,4265.0,6.921,5.8
I Am All Girls,Thriller,"May 14, 2021",107,5.8,English,tm1036270,MOVIE,A special crimes investigator forms an unlikely bond with a serial killer to bring down a global child sex trafficking syndicate.,2021.0,,107.0,"['thriller', 'crime', 'drama']",['ZA'],,tt9013182,5.9,5917.0,43.887,6.6
Let It Snow,Romantic comedy,"November 8, 2019",92,5.8,English,tm120072,MOVIE,"In a small town on Christmas Eve, a snowstorm brings together a group of young people. They soon find their friendships and love lives colliding, and come Christmas morning, nothing will be the same.",2019.0,PG-13,93.0,"['romance', 'comedy']",['US'],,tt1950235,5.8,21828.0,14.599,6.101
Mascots,Mockumentary,"October 13, 2016",95,5.8,English,tm243121,MOVIE,Eager contestants don big heads and furry suits to vie for the title of World's Best Mascot.,2016.0,,89.0,['comedy'],['US'],,tt4936176,5.8,7430.0,8.794,5.4
Operation Christmas Drop,Romantic comedy,"November 5, 2020",96,5.8,English,tm943718,MOVIE,"While gathering evidence to support closing a tropical U.S. Air Force base, a congressional aide warms to its generous captain.",2020.0,,95.0,"['romance', 'family', 'comedy']",['US'],,tt13236566,5.8,11444.0,8.102,6.5
Rajma Chawal,Comedy-drama,"November 30, 2018",118,5.8,Hindi,tm431928,MOVIE,"A father attempts to reconnect with his estranged son through social media, a new world for him.",2018.0,,129.0,"['drama', 'comedy', 'family']",['IN'],,tt6747420,5.7,1853.0,3.305,6.5
Rich in Love,Romantic comedy,"April 30, 2020",105,5.8,Portuguese,tm884581,MOVIE,"Working incognito at his rich dad's company to test his own merits, Teto falls for Paula and tells her he grew up poor, a lie that spins out of control.",2020.0,,104.0,"['comedy', 'romance', 'music']",['BR'],,tt10329566,6.0,2687.0,15.16,7.8
Rising High,Satire,"April 17, 2020",94,5.8,German,tm863890,MOVIE,"Charting the rise and fall of three corrupt real estate agents who accumulate absurd wealth in no time but fall into a vortex of fraud, greed and drugs.",2020.0,,94.0,"['comedy', 'drama']",['DE'],,tt9806336,5.9,5029.0,10.793,6.7
Rodney King,One-man show,"April 28, 2017",52,5.8,English,tm319477,MOVIE,"25 years ago, four LAPD officers were acquitted in a state court for beating King, sparking three days of rioting that left 53 people dead. Now, around the anniversary, this Spike Lee-produced one-man show (Roger Guenver Smith) will be streaming on Netflix. A complex, semi-tragic figure, King drowned in 2012. His life was rarely smooth, or simple – its telling makes for a sober, moving watch.",2017.0,,52.0,"['drama', 'crime', 'documentation', 'comedy', 'history']",['US'],,tt5601910,5.8,606.0,3.055,5.2
Sierra Burgess Is a Loser,Romantic comedy-drama,"September 7, 2018",105,5.8,English,tm420797,MOVIE,A case of mistaken identity results in unexpected romance when the most popular girl in high school and the biggest loser must come together to win over their crushes.,2018.0,PG-13,105.0,"['romance', 'comedy', 'drama']",['US'],,tt3120280,5.8,38841.0,14.072,6.3
Small Crimes,Dark comedy,"April 28, 2017",95,5.8,English,tm311898,MOVIE,"A disgraced former cop, fresh off a six-year prison sentence for attempted murder, returns home looking for redemption but winds up trapped in the mess he left behind.",2017.0,,95.0,"['drama', 'comedy', 'thriller', 'crime']","['CA', 'US']",,tt6158968,5.8,8109.0,9.738,5.4
Special Correspondents,Satire,"April 29, 2016",100,5.8,English,tm238661,MOVIE,A radio journalist and his technician get in over their heads when they hatch a scheme to fake their own kidnapping during a rebel uprising in South America and hide out in New York instead.,2016.0,PG-13,100.0,['comedy'],"['CA', 'GB', 'US']",,tt4181052,5.8,24129.0,10.794,5.7
TAU,Science fiction/Thriller,"June 29, 2018",97,5.8,English,,,,,,,,,,,,,,
The After Party,Comedy,"August 24, 2018",89,5.8,English,tm426274,MOVIE,"When an aspiring rapper goes viral for the wrong reasons, he thinks his career is sunk. But a wild party gives him one more chance to make it right.",2018.0,,89.0,"['comedy', 'horror', 'music']",['US'],,tt7395452,5.7,4405.0,10.276,6.2
The Babysitter: Killer Queen,Comedy/Horror,"September 10, 2020",102,5.8,English,tm922788,MOVIE,"Two years after defeating a satanic cult led by his babysitter Bee, Cole's trying to forget his past and focus on surviving high school. But when old enemies unexpectedly return, Cole will once again have to outsmart the forces of evil.",2020.0,R,101.0,"['comedy', 'horror']",['US'],,tt11024272,5.8,38684.0,83.924,6.4
The Claus Family,Fantasy,"December 7, 2020",96,5.8,Dutch,tm910612,MOVIE,"After discovering his grandfather is Santa Claus, Jules has to help him deliver his presents all around the world. But Jules' hatred for Christmas might make that more difficult than Santa thought.",2020.0,,96.0,"['comedy', 'family', 'fantasy']",['BE'],,tt12459520,5.5,2022.0,6.659,5.7
The Kissing Booth 2,Romantic comedy,"July 24, 2020",131,5.8,English,tm483997,MOVIE,"In the sequel to 2018's THE KISSING BOOTH, high school senior Elle juggles a long-distance relationship with her dreamy boyfriend Noah, college applications, and a new friendship with a handsome classmate that could change everything.",2020.0,,134.0,"['comedy', 'romance']",['GB'],,tt9784456,5.7,31123.0,57.949,7.793
The Perfect Date,Romantic comedy,"April 12, 2019",89,5.8,English,tm464557,MOVIE,"No beau? No problem! To earn money for college, a high schooler creates a dating app that lets him act as a stand-in boyfriend.",2019.0,PG-13,93.0,"['romance', 'comedy']",['US'],,tt8201170,5.8,38796.0,51.174,6.5
What We Wanted,Drama,"November 11, 2020",93,5.8,German,tm946604,MOVIE,Alice and Niklas are a young couple who's biggest wish is to have a child of their own. After several failed attempts they decide to go on a holiday in Sardinia to clear their minds. There they meet a family from Austria that seems to have everything they ever wished for. But appearances can be deceiving...,2020.0,,94.0,['drama'],['AT'],,tt13279528,5.9,1808.0,4.668,6.0
You've Got This,Romantic comedy,"October 2, 2020",111,5.8,Spanish,tm937265,MOVIE,An ad creative and a successful exec have a great marriage — until he wants to be a dad just as her star is rising. Then he brings someone new home.,2020.0,,111.0,"['romance', 'comedy']",['MX'],,tt13118012,5.8,1297.0,9.708,7.9
6 Balloons,Drama,"April 6, 2018",75,5.9,English,tm371959,MOVIE,"Over the course of one night, a woman drives across LA with her heroin addict brother in search of a detox center, with his two-year-old daughter in tow.",2018.0,,75.0,['drama'],['US'],,tt6142496,5.9,4144.0,7.664,6.1
A Fall from Grace,Thriller,"January 17, 2020",120,5.9,English,tm846964,MOVIE,"When a law-abiding woman gets indicted for murdering her husband, her lawyer soon realizes that a larger conspiracy may be at work.",2020.0,,120.0,"['thriller', 'drama', 'fantasy']",['US'],,tt11390036,5.8,15341.0,13.235,7.091
Amateur,Sports-drama,"April 6, 2018",96,5.9,English,tm407295,MOVIE,14-year-old basketball phenom Terron Forte has to navigate the under-the-table world of amateur athletics when he is recruited to an elite NCAA prep school.,2018.0,R,17.0,"['drama', 'sport']",['US'],,tt5580392,5.9,4459.0,15.455,6.5
Army of the Dead,Zombie/Heist,"May 21, 2021",148,5.9,English,tm456513,MOVIE,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble: venturing into the quarantine zone to pull off the greatest heist ever attempted.",2021.0,R,148.0,"['horror', 'thriller', 'crime', 'scifi', 'action']",['US'],,tt0993840,5.7,169348.0,131.869,6.3
Cam,Psychological horror,"November 16, 2018",94,5.9,English,tm420348,MOVIE,A young camgirl discovers that she’s inexplicably been replaced on her site with an exact replica of herself.,2018.0,,95.0,"['thriller', 'horror', 'drama']",['US'],,tt8361028,5.9,31542.0,12.204,5.8
Earthquake Bird,Mystery,"November 15, 2019",107,5.9,English,tm503508,MOVIE,"An enigmatic translator with a dark past is brought in for questioning after an ex-pat friend, who came between her and her photographer boyfriend, ends up missing and presumed dead.",2019.0,R,107.0,"['romance', 'thriller', 'crime', 'drama']","['GB', 'JP']",,tt8178486,5.9,14519.0,10.326,5.9
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,"July 16, 2019",32,5.9,English,tm816593,MOVIE,"David Harbour delves into the enigmatic history of his legendary acting family, as he examines his father's legacy and role in a made-for-TV play.",2019.0,,32.0,['comedy'],['US'],,tt10516390,5.8,2198.0,4.051,6.0
Horse Girl,Drama,"February 7, 2020",104,5.9,English,tm845512,MOVIE,"A socially awkward woman with a fondness for arts and crafts, horses, and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.",2020.0,R,104.0,['drama'],['US'],,,,,14.15,5.6
Notes from Dunblane: Lesson from a School Shooting,Documentary,"September 28, 2018",23,5.9,English,,,,,,,,,,,,,,
Maska,Romantic comedy,"March 27, 2020",111,5.9,Hindi,tm881984,MOVIE,"Determined to make it in showbiz, an aspiring young actor considers turning his back on the beloved Irani café run by his family for generations.",2020.0,,111.0,"['comedy', 'drama', 'romance']",['IN'],,tt11953628,5.9,1451.0,1.752,6.0
The Decline,Thriller,"March 27, 2020",83,5.9,French,tm856375,MOVIE,"Anticipating a disaster, Antoine, a father, attends a survivalist training given by Alain in his autonomous hideout. In fear of a natural, economic or social crisis, the group trains to face the different possible apocalyptic scenarios. But the disaster they will experience will not be the one they predicted.",2020.0,R,83.0,"['thriller', 'action']",['CA'],,tt10307440,6.0,8782.0,7.679,6.2
The Minimalists: Less Is Now,Documentary,"January 1, 2021",53,5.9,English,tm982887,MOVIE,They've built a movement out of minimalism. Longtime friends Joshua Fields Millburn and Ryan Nicodemus share how our lives can be better with less.,2021.0,,53.0,['documentation'],['US'],,tt13583144,5.9,4108.0,7.565,6.5
The Polka King,Comedy-drama,"January 12, 2018",95,5.9,English,tm326723,MOVIE,Local Pennsylvania polka legend Jan Lewan develops a plan to get rich that shocks his fans and lands him in jail.,2017.0,,95.0,"['comedy', 'music', 'drama']",['US'],,tt5539052,5.9,10568.0,8.066,5.515
The Prom,Musical,"December 11, 2020",132,5.9,English,tm678022,MOVIE,A troupe of hilariously self-obsessed theater stars swarm into a small conservative Indiana town in support of a high school girl who wants to take her girlfriend to the prom.,2020.0,PG-13,130.0,"['comedy', 'drama', 'music', 'romance']",['US'],,tt10161886,5.9,26197.0,1.596,6.2
True Memoirs of an International Assassin,Action comedy,"November 11, 2016",98,5.9,English,tm266844,MOVIE,"After a publisher changes a writer's debut novel about a deadly assassin from fiction to nonfiction, the author finds himself thrust into the world of his lead character, and must take on the role of his character for his own survival.",2016.0,PG-13,98.0,"['action', 'comedy', 'crime']",['US'],,tt1542768,5.9,22891.0,16.152,5.8
Ultras,Sports film,"March 20, 2020",108,5.9,Italian,tm852662,MOVIE,An aging soccer fanatic faces down the reality of his past while struggling to give himself and a young follower very different futures.,2020.0,,109.0,['drama'],['IT'],,tt10937434,6.2,4892.0,6.74,6.1
Come Sunday,Biopic,"April 13, 2018",106,6.0,English,tm366820,MOVIE,Evangelist Carlton Pearson is ostracized by his church for preaching that there is no Hell.,2018.0,,106.0,['drama'],['US'],,tt1690967,6.0,2307.0,5.725,5.8
Forgive Us Our Debts,Drama,"May 4, 2018",104,6.0,Italian,tm411313,MOVIE,"Threatened by creditors, a newly unemployed man agrees to work for a debt collector, but soon discovers his deal with the devil has unexpected costs.",2018.0,,104.0,"['drama', 'european']","['PL', 'CH', 'AL', 'IT']",,tt6679412,6.2,1604.0,5.855,6.1
iBoy,Science fiction/Thriller,"January 27, 2017",90,6.0,English,tm300184,MOVIE,"After an accident, Tom wakes from a coma to discover that fragments of his smart phone have been embedded in his head, and worse, that returning to normal teenage life is impossible because he has developed a strange set of super powers.",2017.0,,90.0,"['scifi', 'action', 'crime', 'thriller']",['GB'],,tt3171832,6.0,22594.0,14.284,6.0
Lovefucked,Drama,"August 9, 2019",106,6.0,Hindi,tm444907,MOVIE,"A couple’s caustic, increasingly jarring interactions over a Mumbai evening strain their relationship until it threatens to break at its fraying seams.",2018.0,,105.0,"['drama', 'romance']",['IN'],,,,,1.812,5.8
Juanita,Drama,"March 8, 2019",90,6.0,English,tm458363,MOVIE,"Fed up with her deadbeat grown kids and marginal urban existence, Juanita takes a Greyhound bus to Paper Moon, Montana - where she reinvents herself and finds her mojo.",2019.0,,90.0,['drama'],['US'],,tt6155456,6.0,2362.0,6.815,5.25
Murder Mystery,Comedy mystery,"June 14, 2019",97,6.0,English,tm441231,MOVIE,"On a long-awaited trip to Europe, a New York City cop and his hairdresser wife scramble to solve a baffling murder aboard a billionaire's yacht.",2019.0,PG-13,90.0,"['comedy', 'crime', 'romance', 'action']","['IT', 'MC', 'US', 'CA']",,tt1618434,6.0,124599.0,22.376,6.2
Project Power,Superhero,"August 14, 2020",113,6.0,English,tm893480,MOVIE,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",2020.0,R,113.0,"['crime', 'scifi', 'action', 'thriller']",['US'],,tt7550000,6.0,86407.0,22.48,6.5
Rebecca,Romantic thriller,"October 21, 2020",123,6.0,English,tm443615,MOVIE,"After a whirlwind romance with a wealthy widower, a naïve bride moves to his family estate but can't escape the haunting shadow of his late wife.",2020.0,PG-13,123.0,"['romance', 'drama', 'thriller']",['GB'],,tt2235695,6.0,41232.0,11.042,6.3
The Christmas Chronicles: Part Two,Christmas comedy,"November 25, 2020",115,6.0,English,tm885669,MOVIE,"Kate Pierce is reluctantly spending Christmas with her mom’s new boyfriend and his son Jack. But when the North Pole and Christmas are threatened to be destroyed, Kate and Jack are unexpectedly pulled into a new adventure with Santa Claus.",2020.0,PG,112.0,"['fantasy', 'family', 'comedy']",['US'],,tt11057644,6.0,29538.0,44.178,6.6
The Kissing Booth,Romantic comedy,"May 11, 2018",105,6.0,English,tm412623,MOVIE,"When teenager Elle's first kiss leads to a forbidden romance with the hottest boy in high school, she risks her relationship with her best friend.",2018.0,,105.0,"['comedy', 'romance']",['GB'],,tt3799232,5.9,82858.0,77.096,7.3
The Princess Switch,Romantic comedy,"November 16, 2018",101,6.0,English,tm441198,MOVIE,"When a down-to-earth Chicago baker and a soon-to-be princess discover they look like twins, they hatch a Christmastime plan to trade places.",2018.0,PG,101.0,"['romance', 'drama', 'family', 'comedy']",['US'],,tt8954732,6.0,27852.0,24.268,7.037
To All the Boys: P.S. I Still Love You,Romantic comedy,"February 12, 2020",102,6.0,English,tm459512,MOVIE,Lara Jean and Peter have just taken their romance from pretend to officially real when another recipient of one of her love letters enters the picture.,2020.0,PG-13,102.0,"['romance', 'comedy', 'drama']",['US'],,tt9354842,6.0,37471.0,38.468,6.898
War Machine,War-Comedy,"May 26, 2017",122,6.0,English,tm233294,MOVIE,A rock star general bent on winning the “impossible” war in Afghanistan takes us inside the complex machinery of modern war. Inspired by the true story of General Stanley McChrystal.,2017.0,R,122.0,"['drama', 'comedy', 'war']",['US'],,tt4758646,6.0,46276.0,12.235,5.552
6 Underground,Action,"December 13, 2019",128,6.1,English,tm417553,MOVIE,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",2019.0,R,128.0,"['thriller', 'comedy', 'action']",['US'],,tt8106534,6.1,172083.0,68.45,6.327
Between Two Ferns: The Movie,Comedy,"September 20, 2019",82,6.1,English,tm548602,MOVIE,"Galifianakis dreamed of becoming a star. But when Will Ferrell discovered his public access TV show, 'Between Two Ferns' and uploaded it to Funny or Die, Zach became a viral laughing stock. Now Zach and his crew are taking a road trip to complete a series of high-profile celebrity interviews and restore his reputation.",2019.0,,82.0,['comedy'],['US'],,tt9398640,6.1,32036.0,12.486,6.0
Burning Sands,Drama,"March 10, 2017",102,6.1,English,tm283322,MOVIE,"Deep into Hell Week, a favored pledgee is torn between honoring his code of silence or standing up against the intensifying violence of underground hazing.",2017.0,,105.0,"['drama', 'thriller', 'action']",['US'],,tt5826432,6.0,2854.0,9.374,5.8
Casting JonBenet,Documentary,"April 28, 2017",80,6.1,English,tm306811,MOVIE,"Twenty years after the modern world's most notorious child murder, the legacy of the crime and its impact are explored.",2017.0,,81.0,"['documentation', 'crime', 'drama']","['US', 'AU']",,tt6333052,6.1,5426.0,12.107,5.8
Deidra & Laney Rob a Train,Drama,"March 17, 2017",94,6.1,English,tm279585,MOVIE,"After their mother ends up in jail, two sisters turn to train robbery in order to support their family.",2017.0,,92.0,"['drama', 'comedy', 'crime']",['US'],,tt4144332,6.0,1913.0,6.666,5.7
Finding 'Ohana,Family,"January 29, 2021",123,6.1,English,,,,,,,,,,,,,,
Holidate,Romantic comedy/Holiday,"October 28, 2020",104,6.1,English,tm936396,MOVIE,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",2020.0,,104.0,"['romance', 'comedy']",['US'],,tt9866072,6.1,63070.0,13.344,7.1
Holiday in the Wild,Adventure-romance,"November 1, 2019",85,6.1,English,tm838687,MOVIE,"When her husband abruptly ends their marriage, empty nester Kate embarks on a solo second honeymoon in Africa, finding purpose and potential romance.",2019.0,,85.0,"['romance', 'comedy', 'drama']",['US'],,tt8510488,6.1,15216.0,12.279,6.5
Hot Girls Wanted,Documentary,"May 29, 2015",84,6.1,English,tm193125,MOVIE,A first-ever look at the realities of the professional “amateur” porn world and the steady stream of 18-to-19-year old girls entering into it.,2015.0,,84.0,['documentation'],['US'],,tt4382552,6.1,17557.0,37.12,5.914
Like Father,Comedy,"August 3, 2018",103,6.1,English,tm420334,MOVIE,"When a workaholic young executive, is left at the altar, she ends up on her Caribbean honeymoon cruise with the last person she ever expected: her estranged and equally workaholic father. The two depart as strangers, but over the course of a few hilarious adventures, a couple of umbrella-clad cocktails and a whole lot of soul-searching, they return with a renewed appreciation for family and life.",2018.0,R,103.0,"['drama', 'comedy']",['US'],,tt7170950,6.1,21378.0,8.815,6.3
Lost Girls,Crime drama,"March 13, 2020",95,6.1,English,tm471967,MOVIE,"When Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers.",2020.0,R,95.0,"['thriller', 'drama', 'crime']",['US'],,tt3111426,6.1,21588.0,12.547,6.1
Otherhood,Comedy,"August 2, 2019",100,6.1,English,tm571805,MOVIE,"A grounded, soulful, celebratory comedy about three mothers and their adult sons. The film explores the stage after motherhood, Otherhood, when you have to redefine your relationship with your children, friends, spouse, and most importantly, yourself.",2019.0,R,100.0,['comedy'],"['US', 'GB']",,tt4180560,6.1,11275.0,9.31,6.2
Pee-wee's Big Holiday,Adventure,"March 18, 2016",89,6.1,English,tm233317,MOVIE,A fateful meeting with a mysterious stranger inspires Pee-wee Herman to take his first-ever holiday.,2016.0,PG,90.0,"['action', 'comedy', 'family']",['US'],,tt0837156,6.1,8064.0,10.884,6.2
Rogue City,Crime drama,"October 30, 2020",116,6.1,French,tm854278,MOVIE,"Caught in the crosshairs of police corruption and Marseille’s warring gangs, a loyal cop must protect his squad by taking matters into his own hands.",2020.0,PG-13,116.0,"['crime', 'thriller', 'action', 'drama']",['FR'],,,,,10.026,5.863
Sergio,Biopic,"April 17, 2020",118,6.1,English,tm144835,MOVIE,"Charismatic, charming and complex, Sérgio Vieira de Mello was the world's go-to guy, a man who could descend into the most dangerous places, charm the worst war criminals, and somehow protect the lives of the ordinary people to whom he'd devoted his life. The documentary tells the story of his most treacherous mission ever... a mission in which his own life hangs in the balance.",2009.0,,94.0,['documentation'],['US'],,tt1333656,7.4,887.0,2.51,8.1
Sergio,Biopic,"April 17, 2020",118,6.1,English,tm497383,MOVIE,"A sweeping drama set in the chaotic aftermath of the US invasion of Iraq, where the life of top UN diplomat Sergio Vieira de Mello hangs in the balance during the most treacherous mission of his career.",2020.0,R,118.0,"['drama', 'history', 'romance', 'documentation']","['JO', 'TH', 'US', 'AL']",,tt6468740,6.2,9698.0,11.893,6.7
Stuck Apart,Drama,"January 8, 2021",96,6.1,Turkish,tm982470,MOVIE,"Entrenched in a midlife crisis, Aziz seeks solace from his mundane job, lonesome friends and rowdy family while pretending to have his act together.",2021.0,R,96.0,"['comedy', 'drama']",['TR'],,tt11213372,6.0,10515.0,7.403,6.2
